@
██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████  ?
26年一月一  ?
██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████  ?

 //以下全部来自互联网，所有内容仅供测试使用，请勿用于违法用途，如有冒犯请联系删除  ?

*_*********??????影视  ?*********_*
______      _               _  _          
| ___ \    | |             | || |         
| |_/ /___ | |_  _ __  ___ | || |_ __   __
|  __// _ \| __|| '__|/ _ \| || __|\ \ / /
| |  |  __/| |_ | |  |  __/| || |_  \ V / 
\_|   \___| \__||_|   \___||_| \__|  \_/  
//永久免费?严禁商业?仅供测试?违者自  ?!  ?//

★暮雨★临时公测,#genre#
唯心,https://5ddce30eb4b55.streamlock.net/wxtv/wxtvnow.stream/playlist.m3u8

████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████


★MY影视★数字频  ?,#genre#
求索生活,http://111.56.90.5/000000000000/6000000002000003382/1.m3u8
求索科学,http://111.56.90.5/000000000000/6000000002000032344/1.m3u8
求索纪录,http://111.56.90.5/000000000000/6000000002000032052/1.m3u8
求索动物,http://111.56.90.5/000000000000/6000000002000010046/1.m3u8
iHOT-爱院  ?,http://111.56.90.5/000000000000/6000000006000030630/1.m3u8
iHOT-爱幼  ?,http://111.56.90.5/000000000000/6000000006000180630/1.m3u8
iHOT-爱悬  ?,http://111.56.90.5/000000000000/6000000006000050630/1.m3u8
iHOT-爱喜  ?,http://111.56.90.5/000000000000/6000000006000010630/1.m3u8
iHOT-爱玩  ?,http://111.56.90.5/000000000000/6000000006000220630/1.m3u8
iHOT-爱体  ?,http://111.56.90.5/000000000000/6000000006000290630/1.m3u8
iHOT-爱赛  ?,http://111.56.90.5/000000000000/6000000006000240630/1.m3u8
iHOT-爱青  ?,http://111.56.90.5/000000000000/6000000006000100630/1.m3u8
iHOT-爱奇  ?,http://111.56.90.5/000000000000/6000000006000270630/1.m3u8
iHOT-爱旅  ?,http://111.56.90.5/000000000000/6000000006000250630/1.m3u8
iHOT-爱历  ?,http://111.56.90.5/000000000000/6000000006000150630/1.m3u8
iHOT-爱浪  ?,http://111.56.90.5/000000000000/6000000006000040630/1.m3u8
iHOT-爱科  ?,http://111.56.90.5/000000000000/6000000006000160630/1.m3u8
iHOT-爱科  ?,http://111.56.90.5/000000000000/6000000006000020630/1.m3u8
iHOT-爱经  ?,http://111.56.90.5/000000000000/6000000006000060630/1.m3u8
iHOT-爱怀  ?,http://111.56.90.5/000000000000/6000000006000260630/1.m3u8
iHOT-爱都  ?,http://111.56.90.5/000000000000/6000000006000080630/1.m3u8
iHOT-爱动  ?,http://111.56.90.5/000000000000/6000000006000280630/1.m3u8
iHOT-爱谍  ?,http://111.56.90.5/000000000000/6000000006000070630/1.m3u8
iHOT-爱电  ?,http://111.56.90.5/000000000000/6000000006000230630/1.m3u8
NewTV-超级电视  ?,http://111.56.90.5/000000000000/1000000006000268003/1.m3u8
NewTV-超级电影,http://111.56.90.5/000000000000/1000000003000012426/1.m3u8
NewTV-超级综艺,http://111.56.90.5/000000000000/1000000006000268002/1.m3u8
NewTV-超级体育,http://111.56.90.5/000000000000/1000000001000009601/1.m3u8
NewTV-惊悚悬疑,http://111.56.90.5/000000000000/1000000004000024282/1.m3u8
NewTV-精品萌宠,http://111.56.90.5/000000000000/1000000006000032328/1.m3u8
NewTV-精品体育,http://111.56.90.5/000000000000/1000000004000014634/1.m3u8
NewTV-精品综合,http://111.56.90.5/000000000000/1000000004000019008/1.m3u8
NewTV-黑莓动画,http://111.56.90.5/000000000000/1000000004000021734/1.m3u8
NewTV-黑莓电影,http://111.56.90.5/000000000000/1000000004000019624/1.m3u8
NewTV-中国功夫,http://111.56.90.5/000000000000/2000000003000000009/1.m3u8
NewTV-怡伴健康,http://111.56.90.5/000000000000/1000000005000266011/1.m3u8
NewTV-炫舞未来,http://111.56.90.5/000000000000/1000000001000000515/1.m3u8
NewTV-武博世界,http://111.56.90.5/000000000000/2000000003000000007/1.m3u8
NewTV-农业致富,http://111.56.90.5/000000000000/2000000003000000003/1.m3u8
NewTV-明星大片,http://111.56.90.5/000000000000/2000000003000000016/1.m3u8
NewTV-魅力潇湘,http://111.56.90.5/000000000000/1000000001000006197/1.m3u8
NewTV-军事评论,http://111.56.90.5/000000000000/2000000003000000022/1.m3u8
NewTV-军旅剧场,http://111.56.90.5/000000000000/2000000003000000014/1.m3u8
NewTV-金牌综艺,http://111.56.90.5/000000000000/1000000004000026167/1.m3u8
NewTV-家庭剧场,http://111.56.90.5/000000000000/1000000004000008284/1.m3u8
NewTV-欢乐剧场,http://111.56.90.5/000000000000/1000000005000266012/1.m3u8
NewTV-古装剧场,http://111.56.90.5/000000000000/2000000003000000024/1.m3u8
NewTV-动作电影,http://111.56.90.5/000000000000/1000000004000018653/1.m3u8
NewTV-东北热剧,http://111.56.90.5/000000000000/1000000005000266013/1.m3u8
NewTV-潮妈辣婆,http://111.56.90.5/000000000000/2000000003000000018/1.m3u8
NewTV-爱情喜剧,http://111.56.90.5/000000000000/2000000003000000010/1.m3u8
NewTV-精品纪录,http://111.56.90.5/000000000000/1000000004000013730/1.m3u8
NewTV-精品大剧,http://111.56.90.5/000000000000/1000000004000013968/1.m3u8
SiTV-游戏风云,http://111.56.90.5/000000000000/5000000011000031114/1.m3u8
SiTV-生活时尚,http://111.56.90.5/000000000000/5000000002000019634/1.m3u8
SiTV-七彩戏剧,http://111.56.90.5/000000000000/5000000011000031116/1.m3u8
SiTV-魅力足球,http://111.56.90.5/000000000000/5000000011000031207/1.m3u8
SiTV-劲爆体育,http://111.56.90.5/000000000000/5000000002000029972/1.m3u8
SiTV-金色学堂,http://111.56.90.5/000000000000/5000000010000026105/1.m3u8
SiTV-欢笑剧场,http://111.56.90.5/000000000000/5000000002000009455/1.m3u8
SiTV-法治天地,http://111.56.90.5/000000000000/9001547084732463424/1.m3u8
SiTV-都市剧场,http://111.56.90.5/000000000000/5000000011000031111/1.m3u8
SiTV-动漫秀  ?,http://111.56.90.5/000000000000/5000000011000031113/1.m3u8
SiTV-乐游频道,http://111.56.90.5/000000000000/5000000011000031112/1.m3u8
SiTV-欢笑剧场-4K,http://111.56.90.5/000000000000/5000000007000010001/1.m3u8
湖南快乐垂钓,http://111.56.90.5/000000000000/5000000011000031206/1.m3u8
湖南金鹰纪实,http://111.56.90.5/000000000000/5000000011000031203/1.m3u8
北京卡酷少儿,http://111.56.90.5/000000000000/5000000011000265008/1.m3u8
北京纪实科教,http://111.56.90.5/000000000000/1000000005000265020/1.m3u8
北京纪实科教,http://111.56.90.5/000000000000/1000000001000001910/1.m3u8






★MY影视★数字央  ?,#genre#


1CCTV-1,http://111.56.90.5/000000000000/5000000004000002226/1.m3u8
CCTV-1,http://111.56.90.5/000000000000/6000000001000029752/1.m3u8
CCTV-1,http://111.56.90.5/000000000000/1000000005000265001/1.m3u8
CCTV-2,http://111.56.90.5/000000000000/1000000001000012442/1.m3u8
CCTV-2,http://111.56.90.5/000000000000/6000000001000014161/1.m3u8
CCTV-2,http://111.56.90.5/000000000000/1000000001000023315/1.m3u8
CCTV-3,http://111.56.90.5/000000000000/6000000001000022313/1.m3u8
CCTV-3,http://111.56.90.5/000000000000/1000000005000265003/1.m3u8
CCTV-3,http://111.56.90.5/000000000000/1000000001000011218/1.m3u8
CCTV-4,http://111.56.90.5/000000000000/5000000011000031102/1.m3u8
CCTV-4,http://111.56.90.5/000000000000/1000000002000031664/1.m3u8
CCTV-4,http://111.56.90.5/000000000000/1000000005000265004/1.m3u8
CCTV-5,http://111.56.90.5/000000000000/1000000001000004794/1.m3u8
CCTV-5,http://111.56.90.5/000000000000/1000000005000265005/1.m3u8
CCTV-5,http://111.56.90.5/000000000000/6000000001000016431/1.m3u8
CCTV-5+,http://111.56.90.5/000000000000/6000000001000015875/1.m3u8
CCTV-5+,http://111.56.90.5/000000000000/1000000005000265016/1.m3u8
CCTV-5+,http://111.56.90.5/000000000000/1000000001000020505/1.m3u8
CCTV-6,http://111.56.90.5/000000000000/6000000001000004574/1.m3u8
CCTV-6,http://111.56.90.5/000000000000/1000000005000265006/1.m3u8
CCTV-6,http://111.56.90.5/000000000000/1000000001000001737/1.m3u8
CCTV-7,http://111.56.90.5/000000000000/6000000001000009055/1.m3u8
CCTV-7,http://111.56.90.5/000000000000/1000000005000265007/1.m3u8
CCTV-7,http://111.56.90.5/000000000000/1000000001000024341/1.m3u8
CCTV-8,http://111.56.90.5/000000000000/6000000001000001070/1.m3u8
CCTV-8,http://111.56.90.5/000000000000/1000000005000265008/1.m3u8
CCTV-8,http://111.56.90.5/000000000000/1000000001000003736/1.m3u8
CCTV-9,http://111.56.90.5/000000000000/6000000001000032162/1.m3u8
CCTV-9,http://111.56.90.5/000000000000/1000000005000265009/1.m3u8
CCTV-9,http://111.56.90.5/000000000000/1000000001000014583/1.m3u8
CCTV-10,http://111.56.90.5/000000000000/5000000004000012827/1.m3u8
CCTV-10,http://111.56.90.5/000000000000/1000000005000265010/1.m3u8
CCTV-10,http://111.56.90.5/000000000000/1000000001000023734/1.m3u8
CCTV-11,http://111.56.90.5/000000000000/5000000011000031106/1.m3u8
CCTV-11,http://111.56.90.5/000000000000/1000000005000265011/1.m3u8
CCTV-11,http://111.56.90.5/000000000000/1000000002000019789/1.m3u8
CCTV-12,http://111.56.90.5/000000000000/6000000001000022586/1.m3u8
CCTV-12,http://111.56.90.5/000000000000/1000000005000265012/1.m3u8
CCTV-12,http://111.56.90.5/000000000000/1000000001000032494/1.m3u8
CCTV-13,http://111.56.90.5/000000000000/5000000011000031108/1.m3u8
CCTV-13,http://111.56.90.5/000000000000/1000000005000265101/1.m3u8
CCTV-13,http://111.56.90.5/000000000000/1000000002000021303/1.m3u8
CCTV-14,http://111.56.90.5/000000000000/5000000004000006673/1.m3u8
CCTV-14,http://111.56.90.5/000000000000/1000000005000265013/1.m3u8
CCTV-14,http://111.56.90.5/000000000000/1000000001000008170/1.m3u8
CCTV-15,http://111.56.90.5/000000000000/5000000011000031109/1.m3u8
CCTV-15,http://111.56.90.5/000000000000/1000000005000265014/1.m3u8
CCTV-15,http://111.56.90.5/000000000000/1000000002000008163/1.m3u8
CCTV-16,http://111.56.90.5/000000000000/5000000008000023254/1.m3u8
CCTV-16,http://111.56.90.5/000000000000/1000000006000233001/1.m3u8
CCTV-16,http://111.56.90.5/000000000000/1000000006000233002/1.m3u8
CCTV-17,http://111.56.90.5/000000000000/1000000005000056836/1.m3u8
CCTV-17,http://111.56.90.5/000000000000/1000000005000265015/1.m3u8
CCTV-17,http://111.56.90.5/000000000000/1000000006000268004/1.m3u8
CETV1,http://111.56.90.5/000000000000/5000000002000002652/1.m3u8
CETV1,http://111.56.90.5/000000000000/6000000003000018981/1.m3u8
CETV1,http://111.56.90.5/000000000000/1000000002000027253/1.m3u8
CETV2,http://111.56.90.5/000000000000/1000000005000266004/1.m3u8
CETV2,http://111.56.90.5/000000000000/2000000003000000047/1.m3u8
CETV2,http://111.56.90.5/000000000000/5000000011000031201/1.m3u8
CETV4,http://111.56.90.5/000000000000/1000000005000025333/1.m3u8
CETV4,http://111.56.90.5/000000000000/5000000011000031126/1.m3u8
CETV4,http://111.56.90.5/000000000000/5000000006000012123/1.m3u8
北京卫视,http://111.56.90.5/000000000000/1000000005000265027/1.m3u8
北京卫视,http://111.56.90.5/000000000000/1000000001000017156/1.m3u8
北京卫视,http://111.56.90.5/000000000000/6000000001000020451/1.m3u8
北京卫视,http://111.56.90.5/000000000000/1000000001000017156/1.m3u8
东方卫视,http://111.56.90.5/000000000000/1000000005000265018/1.m3u8
东方卫视,http://111.56.90.5/000000000000/6000000001000003639/1.m3u8
东方卫视,http://111.56.90.5/000000000000/5000000010000032246/1.m3u8
湖南卫视,http://111.56.90.5/000000000000/1000000005000265024/1.m3u8
湖南卫视,http://111.56.90.5/000000000000/6000000001000018044/1.m3u8
湖南卫视,http://111.56.90.5/000000000000/5000000004000006692/1.m3u8
江苏卫视,http://111.56.90.5/000000000000/1000000005000265030/1.m3u8
江苏卫视,http://111.56.90.5/000000000000/1000000001000001828/1.m3u8
江苏卫视,http://111.56.90.5/000000000000/6000000001000014861/1.m3u8
浙江卫视,http://111.56.90.5/000000000000/1000000005000265031/1.m3u8
浙江卫视,http://111.56.90.5/000000000000/1000000001000014260/1.m3u8
浙江卫视,http://111.56.90.5/000000000000/5000000004000007275/1.m3u8
天津卫视,http://111.56.90.5/000000000000/1000000005000265026/1.m3u8
天津卫视,http://111.56.90.5/000000000000/6000000001000009186/1.m3u8
天津卫视,http://111.56.90.5/000000000000/5000000004000006827/1.m3u8
四川卫视,http://111.56.90.5/000000000000/1000000002000016825/1.m3u8
四川卫视,http://111.56.90.5/000000000000/5000000004000006119/1.m3u8
四川卫视,http://111.56.90.5/000000000000/6677438387677364824/1.m3u8
重庆卫视,http://111.56.90.5/000000000000/1000000002000018937/1.m3u8
重庆卫视,http://111.56.90.5/000000000000/1000000005000265017/1.m3u8
重庆卫视,http://111.56.90.5/000000000000/1000000001000001096/1.m3u8
重庆卫视,http://111.56.90.5/000000000000/5000000004000025797/1.m3u8
山东卫视,http://111.56.90.5/000000000000/1000000005000265019/1.m3u8
山东卫视,http://111.56.90.5/000000000000/6000000001000004134/1.m3u8
山东卫视,http://111.56.90.5/000000000000/1000000001000016568/1.m3u8
山西卫视,http://111.56.90.5/000000000000/1000000002000021220/1.m3u8
山西卫视,http://111.56.90.5/000000000000/4821787565788875765/1.m3u8
山西卫视,http://111.56.90.5/000000000000/7582242998896540942/1.m3u8
山西卫视,http://111.56.90.5/000000000000/5000000006000040023/1.m3u8
陕西卫视,http://111.56.90.5/000000000000/1000000002000007495/1.m3u8
陕西卫视,http://111.56.90.5/000000000000/7120278140251237664/1.m3u8
陕西卫视,http://111.56.90.5/000000000000/5000000006000040017/1.m3u8
辽宁卫视,http://111.56.90.5/000000000000/1000000002000024033/1.m3u8
辽宁卫视,http://111.56.90.5/000000000000/1000000005000265022/1.m3u8
辽宁卫视,http://111.56.90.5/000000000000/5000000004000011671/1.m3u8
江西卫视,http://111.56.90.5/000000000000/1000000001000013731/1.m3u8
江西卫视,http://111.56.90.5/000000000000/1000000005000265032/1.m3u8
江西卫视,http://111.56.90.5/000000000000/1000000006000268001/1.m3u8
江西卫视,http://111.56.90.5/000000000000/5000000004000011210/1.m3u8
吉林卫视,http://111.56.90.5/000000000000/1000000002000027730/1.m3u8
吉林卫视,http://111.56.90.5/000000000000/5000000011000031117/1.m3u8
吉林卫视,http://111.56.90.5/000000000000/5000000006000040013/1.m3u8
湖北卫视,http://111.56.90.5/000000000000/1000000005000265023/1.m3u8
湖北卫视,http://111.56.90.5/000000000000/6000000001000015436/1.m3u8
湖北卫视,http://111.56.90.5/000000000000/1000000001000024621/1.m3u8
河南卫视,http://111.56.90.5/000000000000/1000000002000027731/1.m3u8
河南卫视,http://111.56.90.5/000000000000/5000000011000031119/1.m3u8
河南卫视,http://111.56.90.5/000000000000/5000000005000017925/1.m3u8
河北卫视,http://111.56.90.5/000000000000/1000000002000017118/1.m3u8
河北卫视,http://111.56.90.5/000000000000/5000000006000040016/1.m3u8
河北卫视,http://111.56.90.5/000000000000/7314569012827301115/1.m3u8
东南卫视,http://111.56.90.5/000000000000/1000000005000265033/1.m3u8
东南卫视,http://111.56.90.5/000000000000/1000000002000009263/1.m3u8
东南卫视,http://111.56.90.5/000000000000/5000000004000010584/1.m3u8
安徽卫视,http://111.56.90.5/000000000000/1000000005000265025/1.m3u8
安徽卫视,http://111.56.90.5/000000000000/6000000001000009954/1.m3u8
安徽卫视,http://111.56.90.5/000000000000/1000000001000030159/1.m3u8
深圳卫视,http://111.56.90.5/000000000000/1000000005000265028/1.m3u8
深圳卫视,http://111.56.90.5/000000000000/6000000001000002116/1.m3u8
深圳卫视,http://111.56.90.5/000000000000/5000000004000007410/1.m3u8
广东卫视,http://111.56.90.5/000000000000/1000000005000265034/1.m3u8
广东卫视,http://111.56.90.5/000000000000/6000000001000031076/1.m3u8
广东卫视,http://111.56.90.5/000000000000/1000000001000014176/1.m3u8
广西卫视,http://111.56.90.5/000000000000/1000000002000019837/1.m3u8
广西卫视,http://111.56.90.5/000000000000/5000000011000031118/1.m3u8
广西卫视,http://111.56.90.5/000000000000/5000000006000040014/1.m3u8
甘肃卫视,http://111.56.90.5/000000000000/1000000002000017827/1.m3u8
甘肃卫视,http://111.56.90.5/000000000000/5000000011000031121/1.m3u8
甘肃卫视,http://111.56.90.5/000000000000/5000000006000040021/1.m3u8
青海卫视,http://111.56.90.5/000000000000/1000000002000013359/1.m3u8
青海卫视,http://111.56.90.5/000000000000/5000000006000040015/1.m3u8
青海卫视,http://111.56.90.5/000000000000/6721180114242078041/1.m3u8
青海卫视,http://111.56.90.5/000000000000/6399324389404552555/1.m3u8
宁夏卫视,http://111.56.90.5/000000000000/1000000002000031451/1.m3u8
宁夏卫视,http://111.56.90.5/000000000000/5000000006000040022/1.m3u8
宁夏卫视,http://111.56.90.5/000000000000/5793735126731753680/1.m3u8
海南卫视,http://111.56.90.5/000000000000/1000000002000023773/1.m3u8
海南卫视,http://111.56.90.5/000000000000/5000000004000006211/1.m3u8
海南卫视,http://111.56.90.5/000000000000/4676690988340017823/1.m3u8
云南卫视,http://111.56.90.5/000000000000/1000000002000024694/1.m3u8
云南卫视,http://111.56.90.5/000000000000/5000000011000031120/1.m3u8
云南卫视,http://111.56.90.5/000000000000/5000000006000040019/1.m3u8
贵州卫视,http://111.56.90.5/000000000000/1000000002000003169/1.m3u8
贵州卫视,http://111.56.90.5/000000000000/5000000004000025843/1.m3u8
贵州卫视,http://111.56.90.5/000000000000/7043811073576958573/1.m3u8
黑龙江卫  ?,http://111.56.90.5/000000000000/1000000005000265029/1.m3u8
黑龙江卫  ?,http://111.56.90.5/000000000000/6000000001000016510/1.m3u8
黑龙江卫  ?,http://111.56.90.5/000000000000/1000000001000001925/1.m3u8
内蒙古卫  ?,http://111.56.90.5/000000000000/1000000002000014080/1.m3u8
内蒙古卫  ?,http://111.56.90.5/000000000000/5559214655508729688/1.m3u8
内蒙古卫  ?,http://111.56.90.5/000000000000/8960557517876415203/1.m3u8
西藏卫视,http://111.56.90.5/000000000000/1000000002000015894/1.m3u8
西藏卫视,http://111.56.90.5/000000000000/6603041244077933770/1.m3u8
西藏卫视,http://111.56.90.5/000000000000/7179022603798868495/1.m3u8
新疆卫视,http://111.56.90.5/000000000000/1000000002000029441/1.m3u8
新疆卫视,http://111.56.90.5/000000000000/5802765535081445534/1.m3u8
新疆卫视,http://111.56.90.5/000000000000/6986657152785429375/1.m3u8
新疆卫视,http://111.56.90.5/000000000000/5000000006000040018/1.m3u8
兵团卫视,http://111.56.90.5/000000000000/1000000005000266005/1.m3u8
兵团卫视,http://111.56.90.5/000000000000/5417511929530418061/1.m3u8
兵团卫视,http://111.56.90.5/000000000000/5000000006000040020/1.m3u8
三沙卫视,http://111.56.90.5/000000000000/5000000011000288016/1.m3u8
农林卫视,http://111.56.90.5/000000000000/1000000005000266003/1.m3u8
农林卫视,http://111.56.90.5/000000000000/2000000003000000046/1.m3u8
延边卫视,http://111.56.90.5/000000000000/1000000005000266008/1.m3u8
延边卫视,http://111.56.90.5/000000000000/2000000003000000049/1.m3u8
厦门卫视,http://111.56.90.5/000000000000/1000000005000266006/1.m3u8
安多卫视,http://111.56.90.5/000000000000/1000000005000266001/1.m3u8
安多卫视,http://111.56.90.5/000000000000/7248678452522064966/1.m3u8
康巴卫视,http://111.56.90.5/000000000000/1000000005000266002/1.m3u8
大湾区卫  ?,http://111.56.90.5/000000000000/1000000002000011619/1.m3u8

████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████




★暮雨影视★介绍,#genre#

看不了的,http://live.nctv.top/douyu1.php?id=85894
点开设置,,http://live.nctv.top/douyu1.php?id=20415
EXO播放  ?,http://live.nctv.top/douyu1.php?id=8257039
用硬解码,http://live.nctv.top/douyu1.php?id=17732
落花听雨,http://live.nctv.top/douyu1.php?id=9629943
需要加UA,http://live.nctv.top/douyu1.php?id=3870925
UA进群,http://live.nctv.top/douyu1.php?id=8970851
看群公告,http://live.nctv.top/douyu1.php?id=3186217
谢谢使用,http://live.nctv.top/douyu1.php?id=9575463

★MY影视★不禁言1022084493,http://cjx.999315.xyz/yzzy/20251030/4390_8fc983a9/index.m3u
★MY影视★分享群,#genre#

★MY影视★成人⑥  ?1029422050,http://cjx.999315.xyz/yzzy/20251030/4389_0d27688c/index.m3u8

████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████

★MY影视★港测①,#genre#

★维护群  ?1022084493,https://live.ottiptv.cc/huya/23749096

翡翠  ?,rtmp://demo2.anj365.com/live/xiangjiaoge-fc
中天新闻,rtmp://demo2.anj365.com/live/xiangjiaoge-ztxw
镜新闻台,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/81c30c93-82df-49c9-975c-61a17204cbba/1.m3u8

中视新闻,http://www.kaniptv.cn/ts1.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzExOS45MS43LjE2OToyMDI2L1RXLnBocD9pZD3kuK3op4bmlrDpl7s=
中视,http://www.kaniptv.cn/ts1.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzExOS45MS43LjE2OToyMDI2L1RXLnBocD9pZD3kuK3op4Y=
寰宇新闻,http://www.kaniptv.cn/ts1.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzExOS45MS43LjE2OToyMDI2L1RXLnBocD9pZD3lr7DlrofmlrDpl7vlj7A=
中天新闻,http://www.kaniptv.cn/ts1.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovLzExOS45MS43LjE2OToyMDI2L1RXLnBocD9pZD3kuK3lpKnmlrDpl7vlj7A=

八大第一,http://ip1.xiaomidadi.cn:8088/live/6b8CYVkZDFPCSqZI/hls.m3u8
八大戏剧,http://ip1.xiaomidadi.cn:8088/live/jOj7LMOIfjOCcTBL/hls.m3u8
八大综合,http://ip1.xiaomidadi.cn:8088/live/mQpfhtEPk6sSnO0S/hls.m3u8
中视,http://ip1.xiaomidadi.cn:8088/live/7Ik9YzD3kqxocgfU/hls.m3u8
澳门莲花,http://ip1.xiaomidadi.cn:8088/live/7RCF6kilR4EMfmge/hls.m3u8
民视台湾,http://ip1.xiaomidadi.cn:8088/live/JLXbovrAXvVvGxtw/hls.m3u8
民视第一,http://ip1.xiaomidadi.cn:8088/live/vnr8miLNxI7tlvjD/hls.m3u8
东森综合,http://ip1.xiaomidadi.cn:8088/live/KMn24bon5j3PxYY2/hls.m3u8
星河,http://ip1.xiaomidadi.cn:8088/live/MITPOmygcya1M6VO/hls.m3u8
公视,http://ip1.xiaomidadi.cn:8088/live/NiyUTyfIW1axBJp2/hls.m3u8
中天亚洲,http://ip1.xiaomidadi.cn:8088/live/dhC7oV8LI6lLcZUT/hls.m3u8
中天综合,http://ip1.xiaomidadi.cn:8088/live/zvYTOOMDQyw276Sd/hls.m3u8
台视,http://ip1.xiaomidadi.cn:8088/live/dscE7IeEK7vMQFZY/hls.m3u8

翡翠  ?,http://r.jdshipin.com/qrfbg
翡翠  ?,http://r.jdshipin.com/62WM7
无线新闻,http://r.jdshipin.com/CkuBd
明珠  ?,http://r.jdshipin.com/ZQ4kN
TVB Plus,http://r.jdshipin.com/ndGgS
TVB Plus,http://r.jdshipin.com/Nr5jq
TVB星河,http://r.jdshipin.com/Voac4
TVB星河,http://r.jdshipin.com/sXuuD
华丽翡翠  ?,http://r.jdshipin.com/thuYX
ViuTV,http://r.jdshipin.com/vSJvl
ViuTV,http://r.jdshipin.com/TcKr2
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰香港,http://r.jdshipin.com/NfC0f
澳视澳门,http://r.jdshipin.com/n2YZI
HOY77,http://r.jdshipin.com/sFw4S
澳视澳门,http://r.jdshipin.com/n2YZI
澳视卫星,http://r.jdshipin.com/QFhCq
广东珠江,http://r.jdshipin.com/sE5vO
广东体育,http://r.jdshipin.com/LiYdg
广州综合,http://r.jdshipin.com/iR6Gq
广州南国都市,http://r.jdshipin.com/nWaZO
广州综合,http://r.jdshipin.com/snhya
