

凤凰电影,#genre#
TVBS新闻,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1782639885837
TVBS戏剧台,http://4gtv.cnlive.club/channel/498f035d/index.m3u8?q=1782639885837
TVBS娱乐台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1782639885837
TVBS综合台,http://4gtv.cnlive.club/channel/49d6d25d/index.m3u8?q=1782639885837
东森新闻台,http://4gtv.cnlive.club/channel/n5ca63a3a/index.m3u8?q=1782639885837
东森财经新闻台,http://4gtv.cnlive.club/channel/57ce2e74/index.m3u8?q=1782639885837
三立新闻iNEWS,http://4gtv.cnlive.club/channel/4fa717ad/index.m3u8?q=1782639885837
三立综合台,http://4gtv.cnlive.club/channel/45c7d3e3/index.m3u8?q=1782639885837
民视新闻,http://4gtv.cnlive.club/channel/n692bc32c/index.m3u8?q=1782639885837
民视二台,http://4gtv.cnlive.club/channel/nce5d867/index.m3u8?q=1782639885837
民视新闻台,http://4gtv.cnlive.club/channel/nca14742/index.m3u8?q=1782639885837
民视第一台,http://4gtv.cnlive.club/channel/nc56ba28/index.m3u8?q=1782639885837
民视综合台,http://4gtv.cnlive.club/channel/nc46cff5/index.m3u8?q=1782639885837
公视剧场,http://4gtv.cnlive.club/channel/7fdd881e/index.m3u8?q=1782639885837
原住民族电视台,http://4gtv.cnlive.club/channel/4f20dc68/index.m3u8?q=1782639885837
客家电视台,http://4gtv.cnlive.club/channel/n855e5fe/index.m3u8?q=1782639885837
霹雳布袋戏专场,http://4gtv.cnlive.club/channel/n4271efdd/index.m3u8?q=1782639885837
金光布袋戏,http://4gtv.cnlive.club/channel/n125d8ecd/index.m3u8?q=1782639885837
大爱二台,http://4gtv.cnlive.club/channel/n7d3932e9/index.m3u8?q=1782639885837
大爱电视,http://4gtv.cnlive.club/channel/n7d3037d2/index.m3u8?q=1782639885837
人间卫视,http://4gtv.cnlive.club/channel/7ed5b6d3/index.m3u8?q=1782639885837
公大娱乐台,http://4gtv.cnlive.club/channel/6626a9ca/index.m3u8?q=1782639885837
公大综合台,http://4gtv.cnlive.club/channel/662e9334/index.m3u8?q=1782639885837
幼儿卡通频道,http://4gtv.cnlive.club/channel/51bbda39/index.m3u8?q=1782639885837
数码数字电影台,http://4gtv.cnlive.club/channel/n79da43c0/index.m3u8?q=1782639885837
纬来外国台,http://4gtv.cnlive.club/channel/n1d7d9ddb/index.m3u8?q=1782639885837
纬来电影台,http://4gtv.cnlive.club/channel/n97ba44a/index.m3u8?q=1782639885837
东森戏剧台,http://4gtv.cnlive.club/channel/3ed78a45/index.m3u8?q=1782639885837
东森剧场台,http://4gtv.cnlive.club/channel/3f07b409/index.m3u8?q=1782639885837
东森日本台,http://4gtv.cnlive.club/channel/3f1816f7/index.m3u8?q=1782639885837
东森洋片,http://4gtv.cnlive.club/channel/n610faa83/index.m3u8?q=1782639885837
东森综合台,http://4gtv.cnlive.club/channel/3f6ecb92/index.m3u8?q=1782639885837
东森卡通台,http://4gtv.cnlive.club/channel/3f7d0a6e/index.m3u8?q=1782639885837
东森幼幼台,http://4gtv.cnlive.club/channel/3fae463b/index.m3u8?q=1782639885837
东森电影台,http://4gtv.cnlive.club/channel/3fcf6ae8/index.m3u8?q=1782639885837
欧亚台 Nice Bingo,http://4gtv.cnlive.club/channel/n15c65427/index.m3u8?q=1782639885837
欧亚剧场台,http://4gtv.cnlive.club/channel/48117ce7/index.m3u8?q=1782639885837
二台精选-FastTV直播看,http://4gtv.cnlive.club/channel/n496c6dde/index.m3u8?q=1782639885837
综艺A大-FastTV直播看,http://4gtv.cnlive.club/channel/9fc6b5c/index.m3u8?q=1782639885837
海外电影娱乐-FastTV直播看,http://4gtv.cnlive.club/channel/32bc6076/index.m3u8?q=1782639885837
客家好看-FastTV直播看,http://4gtv.cnlive.club/channel/n1f7f47/index.m3u8?q=1782639885837
经典综合电影-FastTV直播看,http://4gtv.cnlive.club/channel/n424d08b7/index.m3u8?q=1782639885837
热映电影大片-FastTV直播看,http://4gtv.cnlive.club/channel/n5541a0ca/index.m3u8?q=1782639885837
东森动作专场-FastTV直播看,http://4gtv.cnlive.club/channel/nb3eed91/index.m3u8?q=1782639885837
娱乐剧场1台-FastTV直播看,http://4gtv.cnlive.club/channel/n7179beac/index.m3u8?q=1782639885837
娱乐剧场2台-FastTV直播看,http://4gtv.cnlive.club/channel/n69c8194d/index.m3u8?q=1782639885837
娱乐精选台,http://4gtv.cnlive.club/channel/n1ecb3c7f/index.m3u8?q=1782639885837
娱乐民视电影-FastTV直播看,http://4gtv.cnlive.club/channel/750a2ada/index.m3u8?q=1782639885837
综合戏剧-FastTV直播看,http://4gtv.cnlive.club/channel/53488299/index.m3u8?q=1782639885837
综合戏剧台,http://4gtv.cnlive.club/channel/n2faf04ad/index.m3u8?q=1782639885837
综合戏剧专场-FastTV直播看,http://4gtv.cnlive.club/channel/n4ae53aed/index.m3u8?q=1782639885837
综合电影台,http://4gtv.cnlive.club/channel/n2eb7240a/index.m3u8?q=1782639885837
金光布袋戏-FastTV直播看,http://4gtv.cnlive.club/channel/n3000a7f1/index.m3u8?q=1782639885837
amc电影台,http://4gtv.cnlive.club/channel/n4f2af9e/index.m3u8?q=1782639885837
CinemaWorld,http://4gtv.cnlive.club/channel/n7815b83e/index.m3u8?q=1782639885837
DreamWorks 动画卡通专场,http://4gtv.cnlive.club/channel/n451655ef/index.m3u8?q=1782639885837
KLT-东森海外台,http://4gtv.cnlive.club/channel/n481b36ac/index.m3u8?q=1782639885837
LiveABC少儿英语频道,http://4gtv.cnlive.club/channel/2a571abf/index.m3u8?q=1782639885837
MOMO亲子台,http://4gtv.cnlive.club/channel/n33a56e39/index.m3u8?q=1782639885837
Nice TV 东森戏剧台,http://4gtv.cnlive.club/channel/n122ce57e/index.m3u8?q=1782639885837
Nick Jr. 幼儿频道,http://4gtv.cnlive.club/channel/23ac0723/index.m3u8?q=1782639885837
ROCK Action,http://4gtv.cnlive.club/channel/n21b197ce/index.m3u8?q=1782639885837




FakeHostel,http://xionggroup.uk:2347/livehttpplay?channel_id=18214

